0.000	-83.55713
0.020	-83.55713
0.040	-83.58765
0.060	-83.55713
0.080	-83.52661
0.100	-83.55713
0.120	-83.55713
0.140	-83.52661
0.160	-83.55713
0.180	-83.55713
0.200	-83.58765
0.220	-83.52661
0.240	-83.52661
0.260	-83.49609
0.280	-83.46558
0.300	-83.52661
0.320	-83.55713
0.340	-83.55713
0.360	-83.58765
0.380	-83.55713
0.400	-83.58765
0.420	-83.52661
0.440	-83.52661
0.460	-83.52661
0.480	-83.55713
0.500	-83.55713
0.520	-83.58765
0.540	-83.61816
0.560	-83.52661
0.580	-83.52661
0.600	-83.46558
0.620	-83.46558
0.640	-83.46558
0.660	-83.52661
0.680	-83.55713
0.700	-83.58765
0.720	-83.58765
0.740	-83.52661
0.760	-83.55713
0.780	-83.58765
0.800	-83.58765
0.820	-83.61816
0.840	-83.61816
0.860	-83.61816
0.880	-83.61816
0.900	-83.55713
0.920	-83.52661
0.940	-83.46558
0.960	-83.49609
0.980	-83.55713
1.000	-83.55713
1.020	-83.55713
1.040	-83.58765
1.060	-83.58765
1.080	-83.55713
1.100	-83.52661
1.120	-83.55713
1.140	-83.58765
1.160	-83.61816
1.180	-83.61816
1.200	-83.64868
1.220	-83.55713
1.240	-83.52661
1.260	-83.49609
1.280	-83.49609
1.300	-83.52661
1.320	-83.55713
1.340	-83.55713
1.360	-83.55713
1.380	-83.55713
1.400	-83.46558
1.420	-83.52661
1.440	-83.46558
1.460	-83.52661
1.480	-83.55713
1.500	-83.61816
1.520	-83.67920
1.540	-83.64868
1.560	-83.55713
1.580	-83.52661
1.600	-83.52661
1.620	-83.49609
1.640	-83.52661
1.660	-83.55713
1.680	-83.61816
1.700	-83.55713
1.720	-83.58765
1.740	-83.55713
1.760	-83.49609
1.780	-83.49609
1.800	-83.58765
1.820	-83.55713
1.840	-83.61816
1.860	-83.58765
1.880	-83.58765
1.900	-83.58765
1.920	-83.55713
1.940	-83.55713
1.960	-83.58765
1.980	-83.61816
2.000	-83.64868
2.020	-83.64868
2.040	-83.61816
2.060	-83.55713
2.080	-83.52661
2.100	-83.52661
2.120	-83.52661
2.140	-83.55713
2.160	-83.58765
2.180	-83.58765
2.200	-83.58765
2.220	-83.55713
2.240	-83.52661
2.260	-83.49609
2.280	-83.46558
2.300	-83.46558
2.320	-83.52661
2.340	-83.55713
2.360	-83.55713
2.380	-83.52661
2.400	-83.55713
2.420	-83.55713
2.440	-83.55713
2.460	-83.55713
2.480	-83.61816
2.500	-83.64868
2.520	-83.58765
2.540	-83.58765
2.560	-83.52661
2.580	-83.55713
2.600	-83.52661
2.620	-83.49609
2.640	-83.55713
2.660	-83.58765
2.680	-83.58765
2.700	-83.58765
2.720	-83.58765
2.740	-83.55713
2.760	-83.52661
2.780	-83.52661
2.800	-83.55713
2.820	-83.58765
2.840	-83.58765
2.860	-83.58765
2.880	-83.58765
2.900	-83.49609
