8e+03	170	138	50.1	-84.6	256	-3.03	10.9	-5.49	0.000255	0.000142	85.4	82.7	-235	0.397	0.379	168	162	
8.2e+03	161	132	47.2	-84.3	244	-3.03	4.92	-14.3	0.000199	0.000143	57.1	86.6	-223	0.43	0.42	159	154	
8.4e+03	170	137	50	-84.5	258	-3.06	10.9	-5.77	0.000256	0.000143	85	82.7	-237	0.397	0.379	167	162	
8.6e+03	161	131	47.3	-84.3	244	-3.04	5.03	-14.2	0.0002	0.000143	57.1	87.3	-223	0.43	0.42	159	153	
8.8e+03	169	138	50	-84.5	252	-3.05	10.7	-5.61	0.000256	0.000143	85.8	81.9	-232	0.397	0.379	167	161	
9e+03	161	132	47.2	-84.3	248	-3.04	5.16	-13.9	0.000201	0.000144	57.1	86.8	-227	0.43	0.42	159	153	
9.2e+03	169	137	50	-84.5	253	-3.06	10.8	-6	0.000257	0.000144	84.8	82.4	-233	0.398	0.38	167	161	
9.4e+03	161	132	47.3	-84.3	247	-3.06	5.13	-14.1	0.000202	0.000144	57.1	86.9	-226	0.43	0.419	159	153	
9.6e+03	169	137	50	-84.5	258	-3.07	10.7	-5.76	0.000257	0.000144	84.4	82.6	-237	0.398	0.38	167	161	
9.8e+03	161	132	47.5	-84.3	248	-3.08	5.01	-13.9	0.000203	0.000145	57.4	87.3	-227	0.429	0.419	159	153	
1e+04	169	137	50	-84.5	260	-3.07	10.5	-5.96	0.000258	0.000145	85.1	82	-239	0.398	0.38	166	161	
1.02e+04	161	131	47.5	-84.3	249	-3.09	5.36	-14.4	0.000205	0.000145	58.1	87.2	-229	0.429	0.419	159	153	
1.04e+04	168	137	50	-84.5	246	-3.09	10.4	-6.19	0.000258	0.000145	84.7	82	-225	0.399	0.381	166	161	
1.06e+04	161	131	47.6	-84.3	242	-3.11	5.19	-14.1	0.000206	0.000145	58.8	86.7	-222	0.429	0.418	159	153	
1.08e+04	168	137	49.9	-84.5	258	-3.1	10.4	-6.22	0.000258	0.000145	83.5	82.9	-238	0.399	0.381	166	160	
1.1e+04	161	131	47.6	-84.3	246	-3.11	5.42	-14.1	0.000207	0.000146	58.5	87	-225	0.429	0.418	158	153	
1.12e+04	168	136	49.9	-84.5	260	-3.1	10.2	-6.54	0.000259	0.000146	84.2	82.1	-239	0.399	0.381	166	160	
1.14e+04	161	131	47.6	-84.3	249	-3.11	5.42	-13.8	0.000208	0.000146	59.1	87.1	-229	0.429	0.418	158	153	
1.16e+04	168	136	49.8	-84.5	254	-3.11	10.3	-6.29	0.000259	0.000146	83.5	82.5	-233	0.4	0.382	166	160	
1.18e+04	160	131	47.7	-84.3	246	-3.13	5.57	-13.5	0.000209	0.000147	59.1	87.7	-226	0.428	0.417	158	153	
1.2e+04	167	136	49.8	-84.5	254	-3.13	10.4	-6.23	0.000259	0.000147	83.5	82.2	-234	0.4	0.382	165	159	
1.22e+04	161	131	47.7	-84.3	249	-3.14	5.42	-13.9	0.00021	0.000147	59.1	87.1	-229	0.428	0.417	158	153	
1.24e+04	167	136	49.8	-84.5	256	-3.13	10.1	-6.6	0.000259	0.000147	82.6	82.8	-236	0.4	0.382	165	159	
1.26e+04	160	130	47.8	-84.3	252	-3.15	5.4	-14	0.000211	0.000148	59.9	87.2	-231	0.427	0.417	158	153	
1.28e+04	167	135	49.8	-84.5	247	-3.15	10.1	-6.6	0.00026	0.000148	82.8	82.4	-226	0.4	0.383	165	159	
1.3e+04	160	130	47.8	-84.3	247	-3.16	5.64	-13.5	0.000213	0.000148	59.6	87.5	-227	0.427	0.416	158	153	
1.32e+04	167	135	49.7	-84.5	255	-3.16	9.9	-6.99	0.00026	0.000148	82.1	82.8	-235	0.401	0.383	164	159	
1.34e+04	160	130	47.9	-84.3	242	-3.17	5.77	-13.3	0.000214	0.000149	60.4	87.2	-221	0.427	0.416	158	153	
1.36e+04	166	135	49.6	-84.5	258	-3.16	9.89	-7.25	0.00026	0.000149	82	82.6	-237	0.401	0.384	164	159	
1.38e+04	160	131	48.1	-84.3	250	-3.2	5.66	-13.6	0.000215	0.000149	60.8	87.6	-229	0.427	0.415	158	153	
